Timestamp;Position.x;Position.y;Position.z;Rotation.x;Rotation.y;Rotation.z;Rotation.w
09:34:30.701192;0;0;0;0;0;0;1
09:34:32.219698;0;0;0;0;0;0;1
09:34:32.246672;0;0;0;0;0;0;1
09:34:32.246672;0;0;0;0;0;0;1
09:34:32.247672;0;0;0;0;0;0;1
09:34:32.268698;0;0;0;0;0;0;1
09:34:32.269672;0;0;0;0;0;0;1
09:34:32.282672;0;0;0;0;0;0;1
09:34:32.296673;0;0;0;0;0;0;1
09:34:32.308672;0;0;0;0;0;0;1
09:34:32.329675;0;0;0;0;0;0;1
09:34:32.330673;0;0;0;0;0;0;1
09:34:32.340673;0;0;0;0;0;0;1
09:34:32.350672;0;0;0;0;0;0;1
09:34:32.365672;0;0;0;0;0;0;1
09:34:32.366673;0;0;0;0;0;0;1
09:34:32.378672;0;0;0;0;0;0;1
09:34:32.394673;0;0;0;0;0;0;1
09:34:32.406673;0;0;0;0;0;0;1
09:34:32.419673;0;0;0;0;0;0;1
09:34:32.434672;0;0;0;0;0;0;1
09:34:32.435672;0;0;0;0;0;0;1
09:34:32.449673;0;0;0;0;0;0;1
09:34:32.461673;0;0;0;0;0;0;1
09:34:32.477671;0;0;0;0;0;0;1
09:34:32.478674;0;0;0;0;0;0;1
09:34:32.489672;0;0;0;0;0;0;1
09:34:32.504673;0;0;0;0;0;0;1
09:34:32.517672;0;0;0;0;0;0;1
09:34:32.531672;0;0;0;0;0;0;1
09:34:32.546673;0;0;0;0;0;0;1
09:34:32.547672;0;0;0;0;0;0;1
09:34:32.560673;0;0;0;0;0;0;1
09:34:32.574672;0;0;0;0;0;0;1
09:34:32.587672;0;0;0;0;0;0;1
09:34:32.601672;0;0;0;0;0;0;1
09:34:32.601672;0;0;0;0;0;0;1
09:34:32.615672;0;0;0;0;0;0;1
09:34:32.629673;0;0;0;0;0;0;1
09:34:32.641672;0;0;0;0;0;0;1
09:34:32.656673;0;0;0;0;0;0;1
09:34:32.656673;0;0;0;0;0;0;1
09:34:32.671674;0;0;0;0;0;0;1
09:34:32.683673;0;0;0;0;0;0;1
09:34:32.698673;0;0;0;0;0;0;1
09:34:32.713673;0;0;0;0;0;0;1
09:34:32.714675;0;0;0;0;0;0;1
09:34:32.726673;0;0;0;0;0;0;1
09:34:32.741672;0;0;0;0;0;0;1
09:34:32.753672;0;0;0;0;0;0;1
09:34:32.767672;0;0;0;0;0;0;1
09:34:32.768672;0;0;0;0;0;0;1
09:34:32.783673;0;0;0;0;0;0;1
09:34:32.796673;0;0;0;0;0;0;1
09:34:32.811674;0;0;0;0;0;0;1
09:34:32.811674;0;0;0;0;0;0;1
09:34:32.824673;0;0;0;0;0;0;1
09:34:32.838673;0;0;0;0;0;0;1
09:34:32.851674;0;0;0;0;0;0;1
09:34:32.864672;0;0;0;0;0;0;1
09:34:32.880674;0;0;0;0;0;0;1
09:34:32.880674;0;0;0;0;0;0;1
09:34:32.893673;0;0;0;0;0;0;1
09:34:32.906673;0;0;0;0;0;0;1
09:34:32.922673;0;0;0;0;0;0;1
09:34:32.922673;0;0;0;0;0;0;1
09:34:32.934673;0;0;0;0;0;0;1
09:34:32.947672;0;0;0;0;0;0;1
09:34:32.962673;0;0;0;0;0;0;1
09:34:32.976674;0;0;0;0;0;0;1
09:34:32.977673;0;0;0;0;0;0;1
09:34:32.989673;0;0;0;0;0;0;1
09:34:33.004673;0;0;0;0;0;0;1
09:34:33.015673;0;0;0;0;0;0;1
09:34:33.030673;0;0;0;0;0;0;1
09:34:33.045672;0;0;0;0;0;0;1
09:34:33.046672;0;0;0;0;0;0;1
09:34:33.060673;0;0;0;0;0;0;1
09:34:33.072673;0;0;0;0;0;0;1
09:34:33.087672;0;0;0;0;0;0;1
09:34:33.102673;0;0;0;0;0;0;1
09:34:33.102673;0;0;0;0;0;0;1
09:34:33.114673;0;0;0;0;0;0;1
09:34:33.129674;0;0;0;0;0;0;1
09:34:33.141672;0;0;0;0;0;0;1
09:34:33.156674;0;0;0;0;0;0;1
09:34:33.156674;0;0;0;0;0;0;1
09:34:33.171673;0;0;0;0;0;0;1
09:34:33.185673;0;0;0;0;0;0;1
09:34:33.199673;0;0;0;0;0;0;1
09:34:33.199673;0;0;0;0;0;0;1
09:34:33.211673;0;0;0;0;0;0;1
09:34:33.227672;0;0;0;0;0;0;1
09:34:33.240673;0;0;0;0;0;0;1
09:34:33.255673;0;0;0;0;0;0;1
09:34:33.255673;0;0;0;0;0;0;1
09:34:33.267672;0;0;0;0;0;0;1
09:34:33.280674;0;0;0;0;0;0;1
09:34:33.295673;0;0;0;0;0;0;1
09:34:33.308673;0;0;0;0;0;0;1
09:34:33.323673;0;0;0;0;0;0;1
09:34:33.324673;0;0;0;0;0;0;1
09:34:33.337672;0;0;0;0;0;0;1
09:34:33.351674;0;0;0;0;0;0;1
09:34:33.365674;0;0;0;0;0;0;1
09:34:33.377672;0;0;0;0;0;0;1
09:34:33.378674;0;0;0;0;0;0;1
09:34:33.393673;0;0;0;0;0;0;1
09:34:33.405672;0;0;0;0;0;0;1
09:34:33.419673;0;0;0;0;0;0;1
09:34:33.435672;0;0;0;0;0;0;1
09:34:33.435672;0;0;0;0;0;0;1
09:34:33.448673;0;0;0;0;0;0;1
09:34:33.462672;0;0;0;0;0;0;1
09:34:33.475673;0;0;0;0;0;0;1
09:34:33.490672;0;0;0;0;0;0;1
09:34:33.491672;0;0;0;0;0;0;1
09:34:33.503672;0;0;0;0;0;0;1
09:34:33.518673;0;0;0;0;0;0;1
09:34:33.531672;0;0;0;0;0;0;1
09:34:33.546673;0;0;0;0;0;0;1
09:34:33.547672;0;0;0;0;0;0;1
09:34:33.559672;0;0;0;0;0;0;1
09:34:33.574672;0;0;0;0;0;0;1
09:34:33.586672;0;0;0;0;0;0;1
09:34:33.601672;0;0;0;0;0;0;1
09:34:33.602673;0;0;0;0;0;0;1
09:34:33.615672;0;0;0;0;0;0;1
09:34:33.628673;0;0;0;0;0;0;1
09:34:33.643672;0;0;0;0;0;0;1
09:34:33.644673;0;0;0;0;0;0;1
09:34:33.657672;0;0;0;0;0;0;1
09:34:33.669672;0;0;0;0;0;0;1
09:34:33.684672;0;0;0;0;0;0;1
09:34:33.699672;0;0;0;0;0;0;1
09:34:33.699672;0;0;0;0;0;0;1
09:34:33.712672;0;0;0;0;0;0;1
09:34:33.725673;0;0;0;0;0;0;1
09:34:33.740672;0;0;0;0;0;0;1
09:34:33.752673;0;0;0;0;0;0;1
09:34:33.767672;0;0;0;0;0;0;1
09:34:33.768673;0;0;0;0;0;0;1
09:34:33.783673;0;0;0;0;0;0;1
09:34:33.796673;0;0;0;0;0;0;1
09:34:33.808678;0;0;0;0;0;0;1
09:34:33.823673;0;0;0;0;0;0;1
09:34:33.823673;0;0;0;0;0;0;1
09:34:33.836673;0;0;0;0;0;0;1
09:34:33.851673;0;0;0;0;0;0;1
09:34:33.865673;0;0;0;0;0;0;1
09:34:33.878674;0;0;0;0;0;0;1
09:34:33.879673;0;0;0;0;0;0;1
09:34:33.893672;0;0;0;0;0;0;1
09:34:33.907672;0;0;0;0;0;0;1
09:34:33.921673;0;0;0;0;0;0;1
09:34:33.922673;0;0;0;0;0;0;1
09:34:33.935672;0;0;0;0;0;0;1
09:34:33.949673;0;0;0;0;0;0;1
09:34:33.963673;0;0;0;0;0;0;1
09:34:33.976672;0;0;0;0;0;0;1
09:34:33.991673;0;0;0;0;0;0;1
09:34:33.991673;0;0;0;0;0;0;1
09:34:34.003672;0;0;0;0;0;0;1
09:34:34.017672;0;0;0;0;0;0;1
09:34:34.032672;0;0;0;0;0;0;1
09:34:34.033673;0;0;0;0;0;0;1
09:34:34.044673;0;0;0;0;0;0;1
09:34:34.060672;0;0;0;0;0;0;1
09:34:34.073672;0;0;0;0;0;0;1
09:34:34.086672;0;0;0;0;0;0;1
09:34:34.101673;0;0;0;0;0;0;1
09:34:34.102673;0;0;0;0;0;0;1
09:34:34.115672;0;0;0;0;0;0;1
09:34:34.128672;0;0;0;0;0;0;1
09:34:34.141672;0;0;0;0;0;0;1
09:34:34.155673;0;0;0;0;0;0;1
09:34:34.156673;0;0;0;0;0;0;1
09:34:34.171672;0;0;0;0;0;0;1
09:34:34.185673;0;0;0;0;0;0;1
09:34:34.198672;0;0;0;0;0;0;1
09:34:34.213673;0;0;0;0;0;0;1
09:34:34.213673;0;0;0;0;0;0;1
09:34:34.225672;0;0;0;0;0;0;1
09:34:34.240673;0;0;0;0;0;0;1
09:34:34.253672;0;0;0;0;0;0;1
09:34:34.268673;0;0;0;0;0;0;1
09:34:34.269673;0;0;0;0;0;0;1
09:34:34.281672;0;0;0;0;0;0;1
09:34:34.296672;0;0;0;0;0;0;1
09:34:34.309673;0;0;0;0;0;0;1
09:34:34.323672;0;0;0;0;0;0;1
09:34:34.324673;0;0;0;0;0;0;1
09:34:34.337671;0;0;0;0;0;0;1
09:34:34.350672;0;0;0;0;0;0;1
09:34:34.364674;0;0;0;0;0;0;1
09:34:34.380673;0;0;0;0;0;0;1
09:34:34.380673;0;0;0;0;0;0;1
09:34:34.393673;0;0;0;0;0;0;1
09:34:34.406673;0;0;0;0;0;0;1
09:34:34.421673;0;0;0;0;0;0;1
09:34:34.421673;0;0;0;0;0;0;1
09:34:34.434673;0;0;0;0;0;0;1
09:34:34.449672;0;0;0;0;0;0;1
09:34:34.462672;0;0;0;0;0;0;1
09:34:34.475672;0;0;0;0;0;0;1
09:34:34.491672;0;0;0;0;0;0;1
09:34:34.492673;0;0;0;0;0;0;1
09:34:34.504672;0;0;0;0;0;0;1
09:34:34.516673;0;0;0;0;0;0;1
09:34:34.531673;0;0;0;0;0;0;1
09:34:34.549672;0;0;0;0;0;0;1
09:34:34.550672;0;0;0;0;0;0;1
09:34:34.560672;0;0;0;0;0;0;1
09:34:34.572672;0;0;0;0;0;0;1
09:34:34.587672;0;0;0;0;0;0;1
09:34:34.588673;0;0;0;0;0;0;1
09:34:34.600672;0;0;0;0;0;0;1
09:34:34.615672;0;0;0;0;0;0;1
09:34:34.628672;0;0;0;0;0;0;1
09:34:34.643673;0;0;0;0;0;0;1
09:34:34.644673;0;0;0;0;0;0;1
09:34:34.656673;0;0;0;0;0;0;1
09:34:34.669672;0;0;0;0;0;0;1
09:34:34.684672;0;0;0;0;0;0;1
09:34:34.699673;0;0;0;0;0;0;1
09:34:34.700673;0;0;0;0;0;0;1
09:34:34.711672;0;0;0;0;0;0;1
09:34:34.726672;0;0;0;0;0;0;1
09:34:34.739673;0;0;0;0;0;0;1
09:34:34.754672;0;0;0;0;0;0;1
09:34:34.755672;0;0;0;0;0;0;1
09:34:34.767672;0;0;0;0;0;0;1
09:34:34.781673;0;0;0;0;0;0;1
09:34:34.794672;0;0;0;0;0;0;1
09:34:34.810672;0;0;0;0;0;0;1
