Timestamp;Position.x;Position.y;Position.z;Is_false_stimul;Is_catched;Point`s of stimul`s start time :14:39:47.29093: Delay before stimul appears :0: Velocity :6.609841:
14:39:47.32093;1.5;1.5;6.5;0;0;
14:39:47.33393;1.486667;1.5;6.427778;0;0;
14:39:47.34593;1.473333;1.5;6.355556;0;0;
14:39:47.35993;1.46;1.5;6.283333;0;0;
14:39:47.37393;1.446667;1.5;6.211111;0;0;
14:39:47.37495;1.433333;1.5;6.138889;0;0;
14:39:47.38993;1.42;1.5;6.066667;0;0;
14:39:47.40093;1.406667;1.5;5.994444;0;0;
14:39:47.41493;1.393333;1.5;5.922222;0;0;
14:39:47.42893;1.38;1.5;5.85;0;0;
14:39:47.42995;1.366667;1.5;5.777778;0;0;
14:39:47.44193;1.353333;1.5;5.705555;0;0;
14:39:47.45593;1.34;1.5;5.633333;0;0;
14:39:47.47093;1.326667;1.5;5.561111;0;0;
14:39:47.48193;1.313334;1.5;5.488889;0;0;
14:39:47.49993;1.3;1.5;5.416667;0;0;
14:39:47.50093;1.286667;1.5;5.344444;0;0;
14:39:47.51295;1.273334;1.5;5.272222;0;0;
14:39:47.52793;1.26;1.5;5.2;0;0;
14:39:47.52895;1.246667;1.5;5.127778;0;0;
14:39:47.53993;1.233334;1.5;5.055555;0;0;
14:39:47.55485;1.22;1.5;4.983333;0;0;
14:39:47.56885;1.206667;1.5;4.911111;0;0;
14:39:47.58285;1.193334;1.5;4.838889;0;0;
14:39:47.58385;1.18;1.5;4.766666;0;0;
14:39:47.59585;1.166667;1.5;4.694444;0;0;
14:39:47.60985;1.153334;1.5;4.622222;0;0;
14:39:47.62485;1.14;1.5;4.55;0;0;
14:39:47.63885;1.126667;1.5;4.477777;0;0;
14:39:47.63985;1.113334;1.5;4.405555;0;0;
14:39:47.65085;1.1;1.5;4.333333;0;0;
14:39:47.66485;1.086667;1.5;4.261111;0;0;
14:39:47.67885;1.073334;1.5;4.188889;0;0;
14:39:47.69285;1.06;1.5;4.116666;0;0;
14:39:47.70685;1.046667;1.5;4.044444;0;0;
14:39:47.70685;1.033334;1.5;3.972222;0;0;
14:39:47.72185;1.02;1.5;3.9;0;0;
14:39:47.73385;1.006667;1.5;3.827777;0;0;
14:39:47.74785;0.9933338;1.5;3.755555;0;0;
14:39:47.76185;0.9800005;1.5;3.683333;0;0;
14:39:47.76287;0.9666671;1.5;3.611111;0;0;
14:39:47.77485;0.9533339;1.5;3.538888;0;0;
14:39:47.79185;0.9400005;1.5;3.466666;0;0;
14:39:47.80385;0.9266672;1.5;3.394444;0;0;
14:39:47.81785;0.9133339;1.5;3.322222;0;0;
14:39:47.81885;0.9000006;1.5;3.25;0;0;
14:39:47.83285;0.8866673;1.5;3.177777;0;0;
14:39:47.84685;0.8733339;1.5;3.105555;0;0;
14:39:47.86085;0.8600006;1.5;3.033333;0;0;
14:39:47.86185;0.8466673;1.5;2.961111;0;0;
14:39:47.87285;0.833334;1.5;2.888888;0;0;
14:39:47.89088;0.8200006;1.5;2.816666;0;0;
14:39:47.90185;0.8066673;1.5;2.744444;0;0;
14:39:47.91485;0.793334;1.5;2.672222;0;0;
14:39:47.92885;0.7800007;1.5;2.599999;0;0;
14:39:47.92985;0.7666674;1.5;2.527777;0;0;
14:39:47.94385;0.753334;1.5;2.455555;0;0;
14:39:47.95750;0.7400007;1.5;2.383333;0;0;
14:39:47.97116;0.7266674;1.5;2.31111;0;0;
14:39:47.98616;0.7133341;1.5;2.238888;0;0;
14:39:47.98716;0.7000008;1.5;2.166666;0;0;
14:39:48.00028;0.6866674;1.5;2.094444;0;0;
14:39:48.01368;0.6733341;1.5;2.022222;0;0;
14:39:48.02739;0.6600008;1.5;1.949999;0;0;
14:39:48.02739;0.6466675;1.5;1.877777;0;0;
14:39:48.04126;0.6333342;1.5;1.805555;0;0;
14:39:48.05585;0.6200008;1.5;1.733333;0;0;
14:39:48.06887;0.6066675;1.5;1.66111;0;0;
14:39:48.08187;0.5933342;1.5;1.588888;0;0;
14:39:48.09469;0.5800009;1.5;1.516665;0;0;
14:39:48.09569;0.5666676;1.5;1.444444;0;0;
14:39:48.10870;0.5533342;1.5;1.372221;0;0;
14:39:48.12470;0.5400009;1.5;1.299999;0;0;
14:39:48.13726;0.5266676;1.5;1.227777;0;0;
14:39:48.15326;0.5133342;1.5;1.155555;0;0;
14:39:48.15326;0.500001;1.5;1.083333;0;0;
14:39:48.16626;0.4866676;1.5;1.01111;0;0;
14:39:48.17926;0.4733343;1.5;0.9388881;0;0;
14:39:48.19326;0.460001;1.5;0.8666658;0;0;
14:39:48.20826;0.4466677;1.5;0.7944436;0;0;
14:39:48.20926;0.4333342;1.5;0.7222214;0;0;
14:39:48.22026;0.420001;1.5;0.6499991;0;0;
14:39:48.23483;0.4066677;1.5;0.5777769;0;0;
14:39:48.24883;0.3933344;1.5;0.5055547;0;0;
14:39:48.24983;0.3800011;1.5;0.433332;0;0;
14:39:48.26443;0.3666677;1.5;0.3611102;0;0;
14:39:48.27443;0.3533344;1.5;0.288888;0;0;
14:39:48.29243;0.3400011;1.5;0.2166657;0;0;
14:39:48.30443;0.3266678;1.5;0.1444435;0;0;
14:39:48.31843;0.3133345;1.5;0.07222128;0;0;
14:39:48.31943;0.3000011;1.5;-9.536743E-07;0;0;
14:39:48.33343;0.2866678;1.5;-0.07222319;0;0;
14:39:48.34443;0.2733345;1.5;-0.1444454;0;0;
14:39:48.35843;0.2600012;1.5;-0.2166677;0;0;
