Timestamp;Position.x;Position.y;Position.z;Rotation.x;Rotation.y;Rotation.z;Rotation.w
14:39:33.144069;0;0;0;0;0;0;1
14:39:34.658174;0;0;0;0;0;0;1
14:39:34.710204;0;0;0;0;0;0;1
14:39:34.710204;0;0;0;0;0;0;1
14:39:34.711204;0;0;0;0;0;0;1
14:39:34.712223;0;0;0;0;0;0;1
14:39:34.712223;0;0;0;0;0;0;1
14:39:34.720326;0;0;0;0;0;0;1
14:39:34.737356;0;0;0;0;0;0;1
14:39:34.738329;0;0;0;0;0;0;1
14:39:34.749123;0;0;0;0;0;0;1
14:39:34.762122;0;0;0;0;0;0;1
14:39:34.776122;0;0;0;0;0;0;1
14:39:34.791122;0;0;0;0;0;0;1
14:39:34.803123;0;0;0;0;0;0;1
14:39:34.818123;0;0;0;0;0;0;1
14:39:34.819123;0;0;0;0;0;0;1
14:39:34.831124;0;0;0;0;0;0;1
14:39:34.845123;0;0;0;0;0;0;1
14:39:34.860123;0;0;0;0;0;0;1
14:39:34.860123;0;0;0;0;0;0;1
14:39:34.874124;0;0;0;0;0;0;1
14:39:34.888124;0;0;0;0;0;0;1
14:39:34.901123;0;0;0;0;0;0;1
14:39:34.915123;0;0;0;0;0;0;1
14:39:34.916123;0;0;0;0;0;0;1
14:39:34.929123;0;0;0;0;0;0;1
14:39:34.943123;0;0;0;0;0;0;1
14:39:34.956123;0;0;0;0;0;0;1
14:39:34.971122;0;0;0;0;0;0;1
14:39:34.971122;0;0;0;0;0;0;1
14:39:34.984123;0;0;0;0;0;0;1
14:39:34.997123;0;0;0;0;0;0;1
14:39:35.013123;0;0;0;0;0;0;1
14:39:35.027124;0;0;0;0;0;0;1
14:39:35.028124;0;0;0;0;0;0;1
14:39:35.040124;0;0;0;0;0;0;1
14:39:35.055123;0;0;0;0;0;0;1
14:39:35.067123;0;0;0;0;0;0;1
14:39:35.082124;0;0;0;0;0;0;1
14:39:35.082124;0;0;0;0;0;0;1
14:39:35.094123;0;0;0;0;0;0;1
14:39:35.109123;0;0;0;0;0;0;1
14:39:35.124123;0;0;0;0;0;0;1
14:39:35.136123;0;0;0;0;0;0;1
14:39:35.151123;0;0;0;0;0;0;1
14:39:35.152124;0;0;0;0;0;0;1
14:39:35.166123;0;0;0;0;0;0;1
14:39:35.178123;0;0;0;0;0;0;1
14:39:35.192124;0;0;0;0;0;0;1
14:39:35.206123;0;0;0;0;0;0;1
14:39:35.207123;0;0;0;0;0;0;1
14:39:35.220123;0;0;0;0;0;0;1
14:39:35.234125;0;0;0;0;0;0;1
14:39:35.247123;0;0;0;0;0;0;1
14:39:35.261124;0;0;0;0;0;0;1
14:39:35.262124;0;0;0;0;0;0;1
14:39:35.276123;0;0;0;0;0;0;1
14:39:35.290124;0;0;0;0;0;0;1
14:39:35.305123;0;0;0;0;0;0;1
14:39:35.305123;0;0;0;0;0;0;1
14:39:35.317124;0;0;0;0;0;0;1
14:39:35.332123;0;0;0;0;0;0;1
14:39:35.346124;0;0;0;0;0;0;1
14:39:35.360124;0;0;0;0;0;0;1
14:39:35.360124;0;0;0;0;0;0;1
14:39:35.372124;0;0;0;0;0;0;1
14:39:35.388124;0;0;0;0;0;0;1
14:39:35.402123;0;0;0;0;0;0;1
14:39:35.414124;0;0;0;0;0;0;1
14:39:35.428123;0;0;0;0;0;0;1
14:39:35.429123;0;0;0;0;0;0;1
14:39:35.443123;0;0;0;0;0;0;1
14:39:35.458124;0;0;0;0;0;0;1
14:39:35.470123;0;0;0;0;0;0;1
14:39:35.485123;0;0;0;0;0;0;1
14:39:35.485123;0;0;0;0;0;0;1
14:39:35.497123;0;0;0;0;0;0;1
14:39:35.513124;0;0;0;0;0;0;1
14:39:35.525127;0;0;0;0;0;0;1
14:39:35.541123;0;0;0;0;0;0;1
14:39:35.541123;0;0;0;0;0;0;1
14:39:35.550123;0;0;0;0;0;0;1
14:39:35.568124;0;0;0;0;0;0;1
